doc
 배정 계약 주가 발주 신주 영업이익 하락 하락 약세 약화 약화 약세 원화 보통주 약화 배정 자본 약화 감소 발행 달러 하락 약세 신주 발행 약화 환율 약화 하락 기대 주가 하락 약화 하락 감소 하락 예상 영업외이익 감소 약화 약세 발행 하락 약화 신주 약화 계약 하락 하락 약세 약세 기대 예상 약세 전환 주가 주가 약세 약화 예상 약세 하락 약화 강세 하락 하락 하락 약세 계약 영업이익 약화 약세 강세 발주 약세 발주 발행 약화 하락 감소 예상 강세 예상 예상 약화 약화 기준일 자본 약세 주가 하락 주가 약세 발주 달러 신주 하락 약세 약세 감소
 약화 강세 원화 약세 하락 약세 발주 달러 호재 감소 감소 발주 매출 약세 배정 자본 배정 하락 하락 하락 영업이익 하락 발주 약세 매출 약세 약세 신주 하락 수주 영업이익 매출 발주 하락 하락 영업이익 하락 매출 주가 약세 감소 약화 약세 약화 약화 배정 약화 환율 보통주 달러 실적 호재 주가 하락 전환 환율 약화 약화 약화 영업이익 하락 발주 하락 약화 주가 계약 실적 달러 약세 약화 예상 부정적 약세 매출 매출 약화 발주 기준일 계약 영업이익 영업이익 약세 환율 약화 계약 약세 약세 발주 실적 약세 부정적 발주 약화 하락 호재 부정적 감소 감소 수주 예상
 약화 실적 하락 영업이익 약화 영업이익 보통주 약세 하락 하락 약세 하락 하락 영업외이익 환율 매출 계약 하락 약세 수주 약화 실적 약화 약화 주가 하락 영업이익 감소 약세 증가 약세 감소 약세 달러 약화 발주 달러 약화 계약 약화 전환 하락 매출 약화 하락 약화 약화 약화 주가 약세 환율 약세 계약 배정 영업이익 감소 수주 달러 약세 영업이익 약세 약화 매출 배정 하락 발행 환율 약세 원화 분기 약세 발행 약화 신주 약화 주가 하락 영업이익 약화 감소 신주 발행 약세 약화 약화 영업이익 예상 약화 부정적 원화 하락 약화 실적 실적 주가 실적 약세 주가 약화 약화
 하락 하락 발행 약화 발행 약세 매출 부정적 하락 매출 영업외이익 예상 신주 보통주 계약 달러 감소 약화 하락 감소 하락 약화 감소 매출 약세 수주 부정적 하락 하락 약세 약화 분기 계약 원화 환율 영업이익 배정 부정적 예상 계약 주가 보통주 신주 수주 약화 실적 하락 약세 발주 예상 계약 실적 배정 약화 하락 환율 주가 배정 하락 발행 자본 약화 하락 약세 영업이익 하락 기대 하락 약화 하락 영업이익 주가 약화 하락 하락 환율 발주 약화 약세 보통주 약세 약세 약세 하락 실적 예상 약세 계약 약화 약화 영업이익 하락 매출 감소 하락 약화 하락 하락 약화 약화
 하락 하락 감소 매출 달러 분기 약화 계약 매출 감소 계약 하락 약화 하락 하락 감소 약화 약세 강세 예상 하락 발주 감소 예상 약화 매출 계약 발행 약세 예상 발행 약화 주가 약화 약세 약세 약화 하락 하락 실적 계약 감소 발주 약세 약세 약세 매출 신주 하락 약화 약화 배정 약화 환율 약화 감소 매출 계약 약화 발행 약세 증가 발주 약세 하락 예상 약화 약세 하락 배정 약세 하락 약세 약세 주가 주가 하락 약세 하락 하락 약화 하락 약세 약세 원화 약화 하락 하락 강세 계약 하락 약화 약화 약세 영업이익 매출 약화 매출 하락 약세
 하락 하락 영업이익 약화 원화 약화 하락 약화 수주 달러 하락 하락 하락 약화 약세 신주 기대 약화 하락 강세 환율 약화 주가 기대 하락 약세 매출 매출 발행 영업외이익 약화 약화 영업이익 약세 약화 분기 약화 배정 발주 하락 매출 약세 매출 예상 약세 주가 발주 발주 매출 약세 부정적 부정적 계약 하락 영업외이익 계약 하락 예상 매출 약화 기준일 환율 약화 하락 전환 하락 수주 부정적 강세 약화 약세 약화 주가 약세 하락 기대 하락 매출 신주 약세 부정적 수주 약화 신주 배정 계약 약화 발주 하락 하락 약화 부정적 하락 약화 하락 하락 예상 약화 약세 원화
 약세 약세 기준일 발주 달러 약화 약화 영업이익 감소 강세 약세 부정적 발주 약화 전환 계약 신주 약화 매출 약화 약화 약세 약화 계약 주가 발주 하락 약화 하락 실적 감소 수주 환율 약화 약세 하락 하락 환율 원화 주가 기대 발행 발주 달러 영업이익 약화 매출 부정적 발행 약세 매출 하락 달러 영업외이익 약세 자본 배정 자본 영업이익 부정적 하락 약세 약세 발주 영업이익 수주 영업이익 주가 하락 약화 원화 신주 원화 약화 영업이익 영업이익 주가 하락 수주 약화 발주 감소 증가 수주 수주 자본 발주 수주 주가 영업이익 부정적 감소 매출 실적 약화 약화 약세 환율 배정 약화
 발행 하락 약화 약세 신주 약화 발행 약세 약세 계약 영업외이익 약세 약화 하락 환율 약세 약화 하락 주가 영업이익 약세 달러 약세 약화 실적 하락 발주 주가 원화 약화 발주 주가 약세 보통주 약세 하락 약화 약화 약세 주가 발행 분기 강세 주가 환율 하락 하락 약화 하락 발행 약화 예상 하락 배정 원화 감소 영업이익 약세 매출 하락 약화 보통주 하락 계약 발주 발주 하락 약세 발주 약세 달러 영업이익 기대 약화 부정적 영업이익 발행 하락 하락 수주 원화 실적 영업이익 약화 약화 실적 주가 기대 약화 영업외이익 매출 약세 영업외이익 예상 약세 약세 계약 하락 약세 환율
 약세 하락 전환 약화 약세 약세 하락 하락 약화 하락 부정적 자본 주가 하락 영업이익 발주 발주 발주 약세 환율 약화 약화 배정 예상 약세 약세 감소 하락 부정적 하락 하락 호재 부정적 약화 하락 실적 주가 발행 매출 분기 영업이익 매출 계약 약세 주가 달러 영업이익 원화 신주 주가 약세 예상 하락 영업이익 약세 부정적 기대 증가 환율 영업이익 약세 약세 환율 원화 원화 원화 약세 약세 약화 예상 주가 신주 배정 영업외이익 달러 약세 약화 기준일 주가 달러 하락 약화 하락 주가 감소 하락 계약 감소 주가 약화 주가 매출 하락 감소 매출 감소 주가 하락 환율 수주
 하락 약세 주가 하락 주가 증가 발주 약화 약세 신주 매출 호재 전환 하락 계약 약화 영업외이익 계약 주가 증가 발행 발행 계약 환율 약화 약세 수주 약세 약세 계약 매출 영업이익 기준일 약화 환율 약화 하락 매출 약화 약세 하락 하락 약화 약세 발행 환율 발주 약세 약화 하락 영업이익 신주 강세 계약 수주 약세 환율 강세 약화 달러 부정적 약화 매출 약세 약세 발행 영업이익 호재 수주 주가 수주 계약 하락 매출 실적 주가 보통주 약화 약세 환율 하락 하락 주가 약화 약화 부정적 영업이익 약세 하락 감소 약세 호재 약세 발주 신주 발주 신주 약세 약화 약세
